,Overall,Low,Medium,High
n,13798,4712,4554,4532
Year (%),, , , 
   2003-04, 1626 (11.8) ,  393 ( 8.3) ,  589 (12.9) ,  644 (14.2) 
   2005-06, 1657 (12.0) ,  493 (10.5) ,  504 (11.1) ,  660 (14.6) 
   2007-08, 1832 (13.3) ,  439 ( 9.3) ,  544 (11.9) ,  849 (18.7) 
   2009-10, 1945 (14.1) ,  606 (12.9) ,  652 (14.3) ,  687 (15.2) 
   2011-12, 1646 (11.9) ,  672 (14.3) ,  557 (12.2) ,  417 ( 9.2) 
   2013-14, 1695 (12.3) ,  610 (12.9) ,  566 (12.4) ,  519 (11.5) 
   2015-16, 1707 (12.4) ,  713 (15.1) ,  577 (12.7) ,  417 ( 9.2) 
   2017-18, 1690 (12.2) ,  786 (16.7) ,  565 (12.4) ,  339 ( 7.5) 
Gender = Female (%), 7097 (51.4) , 3393 (72.0) , 2073 (45.5) , 1631 (36.0) 
Age (mean (SD)),47.97 (19.14),42.77 (17.34),50.03 (18.86),51.30 (20.06)
Ethnicity (%),, , , 
   Hispanic, 3561 (25.8) , 1495 (31.7) , 1156 (25.4) ,  910 (20.1) 
   Non-Hispanic Black, 2927 (21.2) , 1020 (21.6) ,  895 (19.7) , 1012 (22.3) 
   Non-Hispanic White, 5912 (42.8) , 1567 (33.3) , 2049 (45.0) , 2296 (50.7) 
   Other Race - Including Multi-Racial, 1398 (10.1) ,  630 (13.4) ,  454 (10.0) ,  314 ( 6.9) 
Education (%),, , , 
   college graduate or above, 2835 (21.9) ,  933 (21.3) ,  954 (22.0) ,  948 (22.4) 
   don't know,   15 ( 0.1) ,    1 ( 0.0) ,    7 ( 0.2) ,    7 ( 0.2) 
   High School/GED or equivalent, 2932 (22.7) ,  952 (21.7) ,  971 (22.4) , 1009 (23.9) 
   some college or aa degree, 3795 (29.3) , 1355 (30.9) , 1234 (28.5) , 1206 (28.6) 
   Some high school or below, 3355 (25.9) , 1143 (26.1) , 1162 (26.8) , 1050 (24.9) 
Poverty to income ratio (mean (SD)), 2.47 (1.62), 2.24 (1.58), 2.55 (1.62), 2.65 (1.63)
Diabetes (%),, , , 
   Yes, 1643 (11.9) ,  539 (11.4) ,  566 (12.4) ,  538 (11.9) 
   No,11852 (85.9) , 4094 (86.9) , 3868 (84.9) , 3890 (85.8) 
   Borderline,  292 ( 2.1) ,   76 ( 1.6) ,  115 ( 2.5) ,  101 ( 2.2) 
   Don't know,   11 ( 0.1) ,    3 ( 0.1) ,    5 ( 0.1) ,    3 ( 0.1) 
BMI_class (%),, , , 
   Normal weight, 4181 (30.7) , 1449 (31.2) , 1297 (28.9) , 1435 (31.9) 
   Obese, 4965 (36.5) , 1834 (39.5) , 1668 (37.2) , 1463 (32.6) 
   Overweight, 4466 (32.8) , 1355 (29.2) , 1516 (33.8) , 1595 (35.5) 
Smoking (%),, , , 
   Every day, 2136 (36.7) ,  635 (38.4) ,  759 (37.0) ,  742 (34.9) 
   Some days,  506 ( 8.7) ,  170 (10.3) ,  174 ( 8.5) ,  162 ( 7.6) 
   Not at all, 3185 (54.7) ,  849 (51.3) , 1116 (54.5) , 1220 (57.4) 
Hypertension (%),, , , 
   Yes, 4036 (33.4) , 1154 (28.2) , 1405 (35.3) , 1477 (36.9) 
   No, 8027 (66.4) , 2934 (71.6) , 2571 (64.5) , 2522 (62.9) 
   Don't know,   26 ( 0.2) ,    9 ( 0.2) ,    8 ( 0.2) ,    9 ( 0.2) 
Menopause2 = Yes (%), 3278 (23.8) , 1015 (21.5) , 1171 (25.7) , 1092 (24.1) 
Heartdisease (%),, , , 
   Yes,  474 ( 4.2) ,  117 ( 3.1) ,  163 ( 4.3) ,  194 ( 5.2) 
   No,10823 (95.5) , 3692 (96.6) , 3609 (95.4) , 3522 (94.5) 
   Don't know,   38 ( 0.3) ,   13 ( 0.3) ,   13 ( 0.3) ,   12 ( 0.3) 
Pregnancy (%),, , , 
"   Yes, positive lab pregnancy test or self-reported pregnant at exam",  265 ( 7.9) ,  160 ( 8.0) ,   61 ( 7.5) ,   44 ( 8.6) 
   SP not pregnant at exam, 1708 (51.2) ,  829 (41.2) ,  510 (62.7) ,  369 (71.8) 
   Cannot ascertain if SP is pregnant at exam,   47 ( 1.4) ,   17 ( 0.8) ,   13 ( 1.6) ,   17 ( 3.3) 
   The participant was not pregnant at exam, 1295 (38.8) ,  986 (49.0) ,  228 (28.0) ,   81 (15.8) 
   Cannot ascertain if the participant is pregnant at exam,   24 ( 0.7) ,   19 ( 0.9) ,    2 ( 0.2) ,    3 ( 0.6) 
