,Overall,Low,Medium,High
n,13798,4700,4781,4317
Year (%),, , , 
   2003-04, 1626 (11.8) ,  484 (10.3) ,  631 (13.2) ,  511 (11.8) 
   2005-06, 1657 (12.0) ,  353 ( 7.5) ,  688 (14.4) ,  616 (14.3) 
   2007-08, 1832 (13.3) ,  281 ( 6.0) ,  615 (12.9) ,  936 (21.7) 
   2009-10, 1945 (14.1) ,  299 ( 6.4) ,  656 (13.7) ,  990 (22.9) 
   2011-12, 1646 (11.9) ,  456 ( 9.7) ,  661 (13.8) ,  529 (12.3) 
   2013-14, 1695 (12.3) ,  747 (15.9) ,  617 (12.9) ,  331 ( 7.7) 
   2015-16, 1707 (12.4) ,  906 (19.3) ,  535 (11.2) ,  266 ( 6.2) 
   2017-18, 1690 (12.2) , 1174 (25.0) ,  378 ( 7.9) ,  138 ( 3.2) 
Gender = Female (%), 7097 (51.4) , 2803 (59.6) , 2385 (49.9) , 1909 (44.2) 
Age (mean (SD)),47.97 (19.14),45.03 (18.95),48.19 (19.43),50.92 (18.54)
Ethnicity (%),, , , 
   Hispanic, 3561 (25.8) , 1460 (31.1) , 1265 (26.5) ,  836 (19.4) 
   Non-Hispanic Black, 2927 (21.2) ,  840 (17.9) ,  957 (20.0) , 1130 (26.2) 
   Non-Hispanic White, 5912 (42.8) , 1894 (40.3) , 2150 (45.0) , 1868 (43.3) 
   Other Race - Including Multi-Racial, 1398 (10.1) ,  506 (10.8) ,  409 ( 8.6) ,  483 (11.2) 
Education (%),, , , 
   college graduate or above, 2835 (21.9) ,  867 (19.9) , 1010 (22.6) ,  958 (23.3) 
   don't know,   15 ( 0.1) ,    2 ( 0.0) ,    9 ( 0.2) ,    4 ( 0.1) 
   High School/GED or equivalent, 2932 (22.7) ,  968 (22.3) ,  986 (22.1) ,  978 (23.7) 
   some college or aa degree, 3795 (29.3) , 1340 (30.8) , 1349 (30.2) , 1106 (26.9) 
   Some high school or below, 3355 (25.9) , 1170 (26.9) , 1116 (25.0) , 1069 (26.0) 
Poverty to income ratio (mean (SD)), 2.47 (1.62), 2.19 (1.54), 2.52 (1.62), 2.73 (1.64)
Diabetes (%),, , , 
   Yes, 1643 (11.9) ,  552 (11.7) ,  546 (11.4) ,  545 (12.6) 
   No,11852 (85.9) , 4062 (86.4) , 4134 (86.5) , 3656 (84.7) 
   Borderline,  292 ( 2.1) ,   84 ( 1.8) ,   99 ( 2.1) ,  109 ( 2.5) 
   Don't know,   11 ( 0.1) ,    2 ( 0.0) ,    2 ( 0.0) ,    7 ( 0.2) 
BMI_class (%),, , , 
   Normal weight, 4181 (30.7) , 1392 (30.2) , 1479 (31.3) , 1310 (30.7) 
   Obese, 4965 (36.5) , 1789 (38.8) , 1713 (36.2) , 1463 (34.2) 
   Overweight, 4466 (32.8) , 1430 (31.0) , 1536 (32.5) , 1500 (35.1) 
Smoking (%),, , , 
   Every day, 2136 (36.7) ,  729 (38.8) ,  742 (36.4) ,  665 (34.8) 
   Some days,  506 ( 8.7) ,  192 (10.2) ,  167 ( 8.2) ,  147 ( 7.7) 
   Not at all, 3185 (54.7) ,  956 (50.9) , 1132 (55.5) , 1097 (57.5) 
Hypertension (%),, , , 
   Yes, 4036 (33.4) , 1197 (30.3) , 1380 (33.2) , 1459 (36.6) 
   No, 8027 (66.4) , 2740 (69.4) , 2771 (66.6) , 2516 (63.2) 
   Don't know,   26 ( 0.2) ,    9 ( 0.2) ,   11 ( 0.3) ,    6 ( 0.2) 
Menopause2 = Yes (%), 3278 (23.8) , 1016 (21.6) , 1128 (23.6) , 1134 (26.3) 
Heartdisease (%),, , , 
   Yes,  474 ( 4.2) ,  136 ( 3.7) ,  166 ( 4.3) ,  172 ( 4.5) 
   No,10823 (95.5) , 3512 (95.9) , 3696 (95.5) , 3615 (95.1) 
   Don't know,   38 ( 0.3) ,   16 ( 0.4) ,    9 ( 0.2) ,   13 ( 0.3) 
Pregnancy (%),, , , 
"   Yes, positive lab pregnancy test or self-reported pregnant at exam",  265 ( 7.9) ,  142 ( 9.3) ,   78 ( 7.0) ,   45 ( 6.5) 
   SP not pregnant at exam, 1708 (51.2) ,  496 (32.3) ,  694 (62.4) ,  518 (74.7) 
   Cannot ascertain if SP is pregnant at exam,   47 ( 1.4) ,   13 ( 0.8) ,   19 ( 1.7) ,   15 ( 2.2) 
   The participant was not pregnant at exam, 1295 (38.8) ,  865 (56.4) ,  318 (28.6) ,  112 (16.2) 
   Cannot ascertain if the participant is pregnant at exam,   24 ( 0.7) ,   18 ( 1.2) ,    3 ( 0.3) ,    3 ( 0.4) 
