,Overall,Low,Medium,High
n,13798,4728,4572,4498
Year (%),, , , 
   2003-04, 1626 (11.8) ,  207 ( 4.4) ,  538 (11.8) ,  881 (19.6) 
   2005-06, 1657 (12.0) ,  267 ( 5.6) ,  507 (11.1) ,  883 (19.6) 
   2007-08, 1832 (13.3) ,  163 ( 3.4) ,  522 (11.4) , 1147 (25.5) 
   2009-10, 1945 (14.1) ,  398 ( 8.4) ,  780 (17.1) ,  767 (17.1) 
   2011-12, 1646 (11.9) ,  675 (14.3) ,  695 (15.2) ,  276 ( 6.1) 
   2013-14, 1695 (12.3) ,  808 (17.1) ,  614 (13.4) ,  273 ( 6.1) 
   2015-16, 1707 (12.4) , 1043 (22.1) ,  510 (11.2) ,  154 ( 3.4) 
   2017-18, 1690 (12.2) , 1167 (24.7) ,  406 ( 8.9) ,  117 ( 2.6) 
Gender = Female (%), 7097 (51.4) , 3000 (63.5) , 2263 (49.5) , 1834 (40.8) 
Age (mean (SD)),47.97 (19.14),44.56 (17.98),48.96 (19.39),50.54 (19.54)
Ethnicity (%),, , , 
   Hispanic, 3561 (25.8) , 1498 (31.7) , 1185 (25.9) ,  878 (19.5) 
   Non-Hispanic Black, 2927 (21.2) , 1087 (23.0) ,  918 (20.1) ,  922 (20.5) 
   Non-Hispanic White, 5912 (42.8) , 1502 (31.8) , 1987 (43.5) , 2423 (53.9) 
   Other Race - Including Multi-Racial, 1398 (10.1) ,  641 (13.6) ,  482 (10.5) ,  275 ( 6.1) 
Education (%),, , , 
   college graduate or above, 2835 (21.9) ,  915 (20.7) ,  972 (22.7) ,  948 (22.4) 
   don't know,   15 ( 0.1) ,    3 ( 0.1) ,    6 ( 0.1) ,    6 ( 0.1) 
   High School/GED or equivalent, 2932 (22.7) ,  962 (21.7) ,  906 (21.1) , 1064 (25.2) 
   some college or aa degree, 3795 (29.3) , 1331 (30.1) , 1267 (29.6) , 1197 (28.3) 
   Some high school or below, 3355 (25.9) , 1215 (27.4) , 1134 (26.5) , 1006 (23.8) 
Poverty to income ratio (mean (SD)), 2.47 (1.62), 2.19 (1.55), 2.51 (1.63), 2.73 (1.62)
Diabetes (%),, , , 
   Yes, 1643 (11.9) ,  658 (13.9) ,  540 (11.8) ,  445 ( 9.9) 
   No,11852 (85.9) , 3979 (84.2) , 3921 (85.8) , 3952 (87.9) 
   Borderline,  292 ( 2.1) ,   90 ( 1.9) ,  105 ( 2.3) ,   97 ( 2.2) 
   Don't know,   11 ( 0.1) ,    1 ( 0.0) ,    6 ( 0.1) ,    4 ( 0.1) 
BMI_class (%),, , , 
   Normal weight, 4181 (30.7) , 1349 (29.0) , 1451 (32.2) , 1381 (31.0) 
   Obese, 4965 (36.5) , 1906 (41.0) , 1575 (34.9) , 1484 (33.3) 
   Overweight, 4466 (32.8) , 1395 (30.0) , 1482 (32.9) , 1589 (35.7) 
Smoking (%),, , , 
   Every day, 2136 (36.7) ,  709 (39.6) ,  667 (34.2) ,  760 (36.4) 
   Some days,  506 ( 8.7) ,  189 (10.6) ,  170 ( 8.7) ,  147 ( 7.0) 
   Not at all, 3185 (54.7) ,  892 (49.8) , 1111 (57.0) , 1182 (56.6) 
Hypertension (%),, , , 
   Yes, 4036 (33.4) , 1198 (30.6) , 1324 (33.5) , 1514 (35.9) 
   No, 8027 (66.4) , 2712 (69.2) , 2616 (66.3) , 2699 (63.9) 
   Don't know,   26 ( 0.2) ,    8 ( 0.2) ,    8 ( 0.2) ,   10 ( 0.2) 
Menopause2 = Yes (%), 3278 (23.8) ,  991 (21.0) , 1111 (24.3) , 1176 (26.1) 
Heartdisease (%),, , , 
   Yes,  474 ( 4.2) ,  125 ( 3.4) ,  150 ( 4.1) ,  199 ( 5.0) 
   No,10823 (95.5) , 3540 (96.2) , 3535 (95.6) , 3748 (94.7) 
   Don't know,   38 ( 0.3) ,   15 ( 0.4) ,   13 ( 0.4) ,   10 ( 0.3) 
Pregnancy (%),, , , 
"   Yes, positive lab pregnancy test or self-reported pregnant at exam",  265 ( 7.9) ,  139 ( 8.5) ,   85 ( 8.4) ,   41 ( 5.9) 
   SP not pregnant at exam, 1708 (51.2) ,  452 (27.5) ,  677 (67.3) ,  579 (83.7) 
   Cannot ascertain if SP is pregnant at exam,   47 ( 1.4) ,    8 ( 0.5) ,   18 ( 1.8) ,   21 ( 3.0) 
   The participant was not pregnant at exam, 1295 (38.8) , 1023 (62.3) ,  221 (22.0) ,   51 ( 7.4) 
   Cannot ascertain if the participant is pregnant at exam,   24 ( 0.7) ,   19 ( 1.2) ,    5 ( 0.5) ,    0 ( 0.0) 
